date,visitors,zoo_garden_group,theme_garden_group,individual_visitors,day
2021-05-30,30143,11511,0,18632,일
2021-05-31,3012,0,0,3012,월
2021-06-01,3165,0,0,3165,화
2021-06-02,3384,0,132,3252,수
2021-06-03,701,0,0,701,목
2021-06-04,4275,113,34,4128,금
2021-06-05,14463,0,0,14463,토
2021-06-06,13620,0,0,13620,일
2021-06-07,2734,0,0,2734,월
2021-06-08,3985,0,34,3951,화
2021-06-09,1902,0,0,1902,수
2021-06-10,1877,55,44,1778,목
2021-06-11,1625,0,0,1625,금
2021-06-12,8613,0,0,8613,토
2021-06-13,7449,0,0,7449,일
2021-06-14,1715,93,45,1577,월
2021-06-15,842,0,0,842,화
2021-06-16,2153,0,68,2085,수
2021-06-17,1760,0,0,1760,목
2021-06-18,612,0,0,612,금
2021-06-19,9749,0,0,9749,토
2021-06-20,8337,0,0,8337,일
2021-06-21,1609,0,45,1564,월
2021-06-22,1406,38,85,1283,화
2021-06-23,948,0,0,948,수
2021-06-24,1303,0,0,1303,목
2021-06-25,1821,0,0,1821,금
2021-06-26,6151,0,0,6151,토
2021-06-27,23485,15787,0,7698,일
2021-06-28,710,0,0,710,월
2021-06-29,1089,45,48,996,화
2021-06-30,663,0,0,663,수
2021-07-01,894,0,0,894,목
2021-07-02,1050,0,0,1050,금
2021-07-03,2370,0,0,2370,토
2021-07-04,1094,0,0,1094,일
2021-07-05,1459,0,0,1459,월
2021-07-06,1235,0,0,1235,화
2021-07-07,719,0,0,719,수
2021-07-08,597,0,0,597,목
2021-07-09,758,0,0,758,금
2021-07-10,2216,0,0,2216,토
2021-07-11,1731,0,0,1731,일
2021-07-12,596,0,0,596,월
2021-07-13,516,0,0,516,화
2021-07-14,473,0,0,473,수
2021-07-15,391,0,0,391,목
2021-07-16,344,0,0,344,금
2021-07-17,1315,0,0,1315,토
2021-07-18,1424,0,0,1424,일
2021-07-19,345,0,0,345,월
2021-07-20,1987,0,0,1987,화
2021-07-21,277,0,0,277,수
2021-07-22,264,0,0,264,목
2021-07-23,238,0,0,238,금
2021-07-24,578,0,0,578,토
2021-07-25,9812,9045,0,767,일
2021-07-26,399,0,0,399,월
2021-07-27,246,0,0,246,화
2021-07-28,281,0,0,281,수
2021-07-29,475,0,0,475,목
2021-07-30,446,0,0,446,금
2021-07-31,1157,0,0,1157,토
2021-08-01,1176,0,0,1176,일
2021-08-02,1191,0,0,1191,월
2021-08-03,1326,0,0,1326,화
2021-08-04,986,0,0,986,수
2021-08-05,1495,0,0,1495,목
2021-08-06,757,0,0,757,금
2021-08-07,2232,0,0,2232,토
2021-08-08,2267,0,0,2267,일
2021-08-09,816,0,0,816,월
2021-08-10,608,0,0,608,화
2021-08-11,682,0,0,682,수
2021-08-12,779,0,0,779,목
2021-08-13,1184,0,0,1184,금
2021-08-14,5347,0,0,5347,토
2021-08-15,7148,0,0,7148,일
2021-08-16,5792,0,0,5792,월
2021-08-17,1312,0,0,1312,화
2021-08-18,889,0,0,889,수
2021-08-19,1721,0,0,1721,목
2021-08-20,1339,0,0,1339,금
2021-08-21,1164,0,0,1164,토
2021-08-22,8136,0,0,8136,일
2021-08-23,409,0,0,409,월
2021-08-24,239,0,0,239,화
2021-08-25,1696,1129,0,567,수
2021-08-26,1299,0,0,1299,목
2021-08-27,381,0,0,381,금
2021-08-28,11137,0,0,11137,토
2021-08-29,9178,0,0,9178,일
2021-08-30,1723,0,0,1723,월
2021-08-31,242,0,0,242,화
2021-09-01,631,0,0,631,수
2021-09-02,1566,0,0,1566,목
2021-09-03,2412,0,0,2412,금
2021-09-04,15612,0,0,15612,토
2021-09-05,15370,0,0,15370,일
2021-09-06,1595,0,0,1595,월
2021-09-07,137,0,0,137,화
2021-09-08,1673,0,0,1673,수
2021-09-09,1889,0,0,1889,목
2021-09-10,3842,1962,0,1880,금
2021-09-11,11735,0,0,11735,토
2021-09-12,12755,0,0,12755,일
2021-09-13,1442,0,0,1442,월
2021-09-14,1405,0,0,1405,화
2021-09-15,1313,0,0,1313,수
2021-09-16,1336,0,0,1336,목
2021-09-17,1335,0,0,1335,금
2021-09-18,9152,0,0,9152,토
2021-09-19,12678,0,0,12678,일
2021-09-20,19167,5849,0,13318,월
2021-09-21,7751,0,0,7751,화
2021-09-22,10551,0,0,10551,수
2021-09-23,4100,0,0,4100,목
2021-09-24,3257,0,0,3257,금
2021-09-25,10698,0,0,10698,토
2021-09-26,11145,0,0,11145,일
2021-09-27,1478,0,0,1478,월
2021-09-28,1124,0,0,1124,화
2021-09-29,169,0,0,169,수
2021-09-30,1840,0,0,1840,목
2021-10-01,2313,0,0,2313,금
2021-10-02,12400,0,0,12400,토
2021-10-03,16853,0,0,16853,일
2021-10-04,5215,0,0,5215,월
2021-10-05,1259,0,0,1259,화
2021-10-06,353,0,0,353,수
2021-10-07,914,0,0,914,목
2021-10-08,715,0,0,715,금
2021-10-09,13776,0,0,13776,토
2021-10-10,6376,0,0,6376,일
2021-10-11,14410,0,0,14410,월
2021-10-12,1763,0,0,1763,화
2021-10-13,2368,0,0,2368,수
2021-10-14,2310,0,0,2310,목
2021-10-15,1857,0,0,1857,금
2021-10-16,7823,0,0,7823,토
2021-10-17,5034,0,0,5034,일
2021-10-18,3236,0,0,3236,월
2021-10-19,1091,0,0,1091,화
2021-10-20,1863,0,0,1863,수
2021-10-21,1938,124,0,1814,목
2021-10-22,2386,28,0,2358,금
2021-10-23,11525,0,0,11525,토
2021-10-24,14344,0,0,14344,일
2021-10-25,2267,0,0,2267,월
2021-10-26,2433,0,0,2433,화
2021-10-27,20162,17893,0,2269,수
2021-10-28,3071,0,0,3071,목
2021-10-29,3468,0,0,3468,금
2021-10-30,13047,0,0,13047,토
2021-10-31,15648,0,0,15648,일
2021-11-01,3168,30,0,3138,월
2021-11-02,3353,0,0,3353,화
2021-11-03,3310,0,0,3310,수
2021-11-04,2533,0,0,2533,목
2021-11-05,3846,0,0,3846,금
2021-11-06,15092,0,0,15092,토
2021-11-07,16700,0,0,16700,일
2021-11-08,171,0,0,171,월
2021-11-09,385,0,0,385,화
2021-11-10,930,36,0,894,수
2021-11-11,1515,173,99,1243,목
2021-11-12,1593,143,48,1402,금
2021-11-13,6639,0,56,6583,토
2021-11-14,8436,0,0,8436,일
2021-11-15,1680,36,42,1602,월
2021-11-16,3665,0,45,3620,화
2021-11-17,1631,0,0,1631,수
2021-11-18,1073,0,0,1073,목
2021-11-19,1748,0,0,1748,금
2021-11-20,4321,0,0,4321,토
2021-11-21,3040,0,0,3040,일
2021-11-22,683,0,0,683,월
2021-11-23,436,0,0,436,화
2021-11-24,523,0,0,523,수
2021-11-25,665,0,0,665,목
2021-11-26,16233,15450,0,783,금
2021-11-27,15992,12433,0,3559,토
2021-11-28,4650,0,0,4650,일
2021-11-29,1137,0,0,1137,월
2021-11-30,141,0,0,141,화
2021-12-01,321,0,0,321,수
2021-12-02,386,0,0,386,목
2021-12-03,361,0,0,361,금
2021-12-04,1741,0,0,1741,토
2021-12-05,2830,0,0,2830,일
2021-12-06,696,0,0,696,월
2021-12-07,1776,125,0,1651,화
2021-12-08,744,0,0,744,수
2021-12-09,645,0,0,645,목
2021-12-10,404,0,0,404,금
2021-12-11,2688,0,0,2688,토
2021-12-12,2415,0,0,2415,일
2021-12-13,267,0,0,267,월
2021-12-14,568,0,0,568,화
2021-12-15,339,0,0,339,수
2021-12-16,355,0,0,355,목
2021-12-17,343,0,0,343,금
2021-12-18,312,0,0,312,토
2021-12-19,573,0,0,573,일
2021-12-20,471,0,0,471,월
2021-12-21,460,0,0,460,화
2021-12-22,427,0,0,427,수
2021-12-23,430,0,0,430,목
2021-12-24,303,0,0,303,금
2021-12-25,390,0,0,390,토
2021-12-26,223,0,0,223,일
2021-12-27,12955,12804,0,151,월
2021-12-28,317,0,0,317,화
2021-12-29,394,0,0,394,수
2021-12-30,420,0,0,420,목
2021-12-31,202,0,0,202,금
