date,day,visitors
2019-01-01,화,1524.0
2019-01-02,수,634.0
2019-01-03,목,777.0
2019-01-04,금,690.0
2019-01-05,토,1601.0
2019-01-06,일,2057.0
2019-01-07,월,773.0
2019-01-08,화,804.0
2019-01-09,수,529.0
2019-01-10,목,839.0
2019-01-11,금,814.0
2019-01-12,토,1855.0
2019-01-13,일,1680.0
2019-01-14,월,433.0
2019-01-15,화,493.0
2019-01-16,수,674.0
2019-01-17,목,1220.0
2019-01-18,금,810.0
2019-01-19,토,1738.0
2019-01-20,일,2064.0
2019-01-21,월,731.0
2019-01-22,화,988.0
2019-01-23,수,756.0
2019-01-24,목,1010.0
2019-01-25,금,882.0
2019-01-26,토,2023.0
2019-01-27,일,2391.0
2019-01-28,월,703.0
2019-01-29,화,938.0
2019-01-30,수,716.0
2019-01-31,목,1624.0
2019-02-01,금,626.0
2019-02-02,토,1630.0
2019-02-03,일,405.0
2019-02-04,월,2550.0
2019-02-05,화,3855.0
2019-02-06,수,4046.0
2019-02-07,목,996.0
2019-02-08,금,771.0
2019-02-09,토,1771.0
2019-02-10,일,1652.0
2019-02-11,월,732.0
2019-02-12,화,1041.0
2019-02-13,수,917.0
2019-02-14,목,1290.0
2019-02-15,금,587.0
2019-02-16,토,1889.0
2019-02-17,일,2834.0
2019-02-18,월,1084.0
2019-02-19,화,514.0
2019-02-20,수,832.0
2019-02-21,목,998.0
2019-02-22,금,1005.0
2019-02-23,토,4086.0
2019-02-24,일,7466.0
2019-02-25,월,1428.0
2019-02-26,화,2285.0
2019-02-27,수,2595.0
2019-02-28,목,2135.0
2019-03-01,금,6264.0
2019-03-02,토,5491.0
2019-03-03,일,4393.0
2019-03-04,월,822.0
2019-03-05,화,649.0
2019-03-06,수,513.0
2019-03-07,목,1196.0
2019-03-08,금,1622.0
2019-03-09,토,17833.0
2019-03-10,일,9254.0
2019-03-11,월,1025.0
2019-03-12,화,1326.0
2019-03-13,수,1064.0
2019-03-14,목,1351.0
2019-03-15,금,963.0
2019-03-16,토,8722.0
2019-03-17,일,15718.0
2019-03-18,월,1945.0
