date,visitors,zoo_garden_group,theme_garden_group,individual_visitors,day
2023-01-01,1268,0,0,1268,일
2023-01-02,365,0,0,365,월
2023-01-03,345,0,0,345,화
2023-01-04,428,0,0,428,수
2023-01-05,439,0,0,439,목
2023-01-06,424,0,0,424,금
2023-01-07,878,0,0,878,토
2023-01-08,1260,0,0,1260,일
2023-01-09,542,0,0,542,월
2023-01-10,608,0,0,608,화
2023-01-11,578,0,0,578,수
2023-01-12,960,32,0,928,목
2023-01-13,235,32,0,203,금
2023-01-14,542,0,0,542,토
2023-01-15,499,0,0,499,일
2023-01-16,317,0,0,317,월
2023-01-17,356,0,0,356,화
2023-01-18,356,0,0,356,수
2023-01-19,453,0,0,453,목
2023-01-20,252,0,0,252,금
2023-01-21,795,0,0,795,토
2023-01-22,1146,0,0,1146,일
2023-01-23,2810,38,0,2772,월
2023-01-24,209,0,0,209,화
2023-01-25,135,0,0,135,수
2023-01-26,288,0,0,288,목
2023-01-27,1206,917,0,289,금
2023-01-28,1930,1323,0,607,토
2023-01-29,1210,0,0,1210,일
2023-01-30,411,0,0,411,월
2023-01-31,509,0,0,509,화
2023-02-01,500,0,0,500,수
2023-02-02,468,0,0,468,목
2023-02-03,476,58,0,418,금
2023-02-04,2439,0,0,2439,토
2023-02-05,2909,0,0,2909,일
2023-02-06,779,0,0,779,월
2023-02-07,725,0,0,725,화
2023-02-08,749,0,0,749,수
2023-02-09,906,0,31,875,목
2023-02-10,570,0,0,570,금
2023-02-11,4339,30,0,4309,토
2023-02-12,4164,0,0,4164,일
2023-02-13,968,0,0,968,월
2023-02-14,884,37,0,847,화
2023-02-15,886,0,0,886,수
2023-02-16,727,0,0,727,목
2023-02-17,1121,0,0,1121,금
2023-02-18,2880,32,0,2848,토
2023-02-19,2869,0,0,2869,일
2023-02-20,811,0,0,811,월
2023-02-21,627,0,0,627,화
2023-02-22,898,0,0,898,수
2023-02-23,1425,0,0,1425,목
2023-02-24,1658,121,0,1537,금
2023-02-25,3987,54,0,3933,토
2023-02-26,5228,0,0,5228,일
2023-02-27,3538,830,0,2708,월
2023-02-28,3603,1178,0,2425,화
2023-03-01,7457,0,0,7457,수
2023-03-02,768,0,0,768,목
2023-03-03,792,0,0,792,금
2023-03-04,7806,0,0,7806,토
2023-03-05,9254,0,0,9254,일
2023-03-06,1039,0,0,1039,월
2023-03-07,1119,0,0,1119,화
2023-03-08,792,0,0,792,수
2023-03-09,632,0,0,632,목
2023-03-10,1533,134,0,1399,금
2023-03-11,15428,60,0,15368,토
2023-03-12,539,31,0,508,일
2023-03-13,551,0,0,551,월
2023-03-14,1070,0,0,1070,화
2023-03-15,914,0,0,914,수
2023-03-16,898,0,0,898,목
2023-03-17,1179,30,0,1149,금
2023-03-18,11932,70,0,11862,토
2023-03-19,12194,0,0,12194,일
2023-03-20,1353,0,0,1353,월
2023-03-21,1544,0,0,1544,화
