date,visitors,zoo_garden_group,theme_garden_group,individual_visitors,day
2022-01-01,1043,0,0,1043,토
2022-01-02,1084,0,0,1084,일
2022-01-03,324,0,0,324,월
2022-01-04,417,0,0,417,화
2022-01-05,349,0,0,349,수
2022-01-06,933,477,0,456,목
2022-01-07,463,0,0,463,금
2022-01-08,1431,0,0,1431,토
2022-01-09,1116,0,0,1116,일
2022-01-10,367,0,0,367,월
2022-01-11,249,0,0,249,화
2022-01-12,139,0,0,139,수
2022-01-13,1276,1046,0,230,목
2022-01-14,224,0,0,224,금
2022-01-15,1433,0,0,1433,토
2022-01-16,1262,0,0,1262,일
2022-01-17,283,0,0,283,월
2022-01-18,358,78,0,280,화
2022-01-19,240,0,0,240,수
2022-01-20,327,0,0,327,목
2022-01-21,386,0,0,386,금
2022-01-22,1882,0,0,1882,토
2022-01-23,2805,0,0,2805,일
2022-01-24,746,0,0,746,월
2022-01-25,267,0,0,267,화
2022-01-26,558,0,0,558,수
2022-01-27,476,0,0,476,목
2022-01-28,426,0,0,426,금
2022-01-29,1237,0,0,1237,토
2022-01-30,1951,0,0,1951,일
2022-01-31,2755,0,0,2755,월
2022-02-01,1096,0,0,1096,화
2022-02-02,1651,0,0,1651,수
2022-02-03,652,0,0,652,목
2022-02-04,374,0,0,374,금
2022-02-05,509,0,0,509,토
2022-02-06,860,0,0,860,일
2022-02-07,275,0,0,275,월
2022-02-08,591,0,0,591,화
2022-02-09,564,0,0,564,수
2022-02-10,704,0,0,704,목
2022-02-11,755,0,0,755,금
2022-02-12,2875,0,0,2875,토
2022-02-13,4327,0,0,4327,일
2022-02-14,721,0,0,721,월
2022-02-15,2350,0,0,2350,화
2022-02-16,282,0,0,282,수
2022-02-17,215,0,0,215,목
2022-02-18,599,0,0,599,금
2022-02-19,2013,0,0,2013,토
2022-02-20,1677,693,0,984,일
2022-02-21,364,0,0,364,월
2022-02-22,380,0,0,380,화
2022-02-23,337,0,0,337,수
2022-02-24,656,0,0,656,목
2022-02-25,1254,0,0,1254,금
2022-02-26,1947,0,0,1947,토
2022-02-27,6364,0,0,6364,일
2022-02-28,3653,10,0,3643,월
2022-03-01,4485,0,0,4485,화
2022-03-02,902,0,0,902,수
2022-03-03,927,0,0,927,목
2022-03-04,614,0,0,614,금
2022-03-05,2774,0,0,2774,토
2022-03-06,4926,0,0,4926,일
2022-03-07,755,0,0,755,월
2022-03-08,1096,0,0,1096,화
2022-03-09,12164,0,0,12164,수
2022-03-10,1044,0,0,1044,목
2022-03-11,1440,0,0,1440,금
2022-03-12,10364,0,0,10364,토
2022-03-13,1397,0,0,1397,일
2022-03-14,135,0,0,135,월
2022-03-15,1287,0,0,1287,화
2022-03-16,1520,0,0,1520,수
2022-03-17,2283,1450,0,833,목
2022-03-18,556,0,0,556,금
2022-03-19,504,0,0,504,토
2022-03-20,7728,0,0,7728,일
2022-03-21,1259,0,0,1259,월
2022-03-22,1348,0,0,1348,화
2022-03-23,777,0,0,777,수
2022-03-24,1079,0,0,1079,목
2022-03-25,1185,0,0,1185,금
2022-03-26,3615,0,0,3615,토
2022-03-27,15630,30,0,15600,일
2022-03-28,3633,1490,0,2143,월
2022-03-29,2389,0,0,2389,화
2022-03-30,670,0,0,670,수
2022-03-31,1516,0,0,1516,목
2022-04-01,3094,219,0,2875,금
2022-04-02,19080,0,0,19080,토
2022-04-03,20368,0,0,20368,일
2022-04-04,2616,0,0,2616,월
2022-04-05,2293,0,0,2293,화
2022-04-06,2635,0,32,2603,수
2022-04-07,2425,0,0,2425,목
2022-04-08,5368,331,33,5004,금
2022-04-09,22965,110,0,22855,토
2022-04-10,24296,0,0,24296,일
2022-04-11,6053,0,0,6053,월
2022-04-12,4761,33,0,4728,화
2022-04-13,831,83,0,748,수
2022-04-14,2172,64,0,2108,목
2022-04-15,5086,161,35,4890,금
2022-04-16,22173,57,0,22116,토
2022-04-17,22239,0,0,22239,일
2022-04-18,3122,0,0,3122,월
2022-04-19,5147,2181,0,2966,화
2022-04-20,3229,0,147,3082,수
2022-04-21,3143,0,175,2968,목
2022-04-22,2171,53,45,2073,금
2022-04-23,18329,30,0,18299,토
2022-04-24,17940,30,0,17910,일
2022-04-25,2604,228,37,2339,월
2022-04-26,2563,71,87,2405,화
2022-04-27,3095,117,280,2698,수
2022-04-28,4191,660,309,3222,목
2022-04-29,3185,864,35,2286,금
2022-04-30,20693,5868,0,14825,토
2022-05-01,16307,0,0,16307,일
2022-05-02,3893,489,38,3366,월
2022-05-03,3594,293,35,3266,화
2022-05-04,6421,1217,780,4424,수
2022-05-05,46381,30,0,46351,목
2022-05-06,13667,256,47,13364,금
2022-05-07,10100,0,0,10100,토
2022-05-08,6887,43,0,6844,일
2022-05-09,3350,236,64,3050,월
2022-05-10,3458,758,122,2578,화
2022-05-11,3399,666,30,2703,수
2022-05-12,3523,167,208,3148,목
2022-05-13,6037,1762,481,3794,금
2022-05-14,12924,30,30,12864,토
2022-05-15,13663,0,0,13663,일
2022-05-16,3881,269,60,3552,월
2022-05-17,4384,260,354,3770,화
2022-05-18,3217,565,68,2584,수
2022-05-19,5872,1287,395,4190,목
2022-05-20,11668,1540,659,9469,금
2022-05-21,15593,412,0,15181,토
2022-05-22,15974,34,0,15940,일
