date,visitors,zoo_garden_group,theme_garden_group,individual_visitors
2019-01-01,1524,0,0,1524
2019-01-02,634,0,0,634
2019-01-03,777,0,0,777
2019-01-04,690,0,0,690
2019-01-05,1601,0,0,1601
2019-01-06,2057,0,0,2057
2019-01-07,773,0,0,773
2019-01-08,804,0,0,804
2019-01-09,529,0,0,529
2019-01-10,839,31,0,808
2019-01-11,814,0,0,814
2019-01-12,1855,30,0,1825
2019-01-13,1680,30,0,1650
2019-01-14,433,0,0,433
2019-01-15,493,0,0,493
2019-01-16,674,0,0,674
2019-01-17,1220,301,0,919
2019-01-18,810,0,0,810
2019-01-19,1738,0,0,1738
2019-01-20,2064,0,0,2064
2019-01-21,731,0,0,731
2019-01-22,988,0,38,950
2019-01-23,756,0,0,756
2019-01-24,1010,0,0,1010
2019-01-25,882,0,0,882
2019-01-26,2023,73,0,1950
2019-01-27,2391,0,0,2391
2019-01-28,703,0,0,703
2019-01-29,938,0,0,938
2019-01-30,716,0,0,716
2019-01-31,1624,934,0,690
2019-02-01,626,0,0,626
2019-02-02,1630,32,0,1598
2019-02-03,405,30,0,375
2019-02-04,2550,0,0,2550
2019-02-05,3855,30,0,3825
2019-02-06,4046,0,0,4046
2019-02-07,996,0,0,996
2019-02-08,771,192,0,579
2019-02-09,1771,63,0,1708
2019-02-10,1652,0,0,1652
2019-02-11,732,0,0,732
2019-02-12,1041,0,0,1041
2019-02-13,917,0,0,917
2019-02-14,1290,0,0,1290
2019-02-15,587,0,0,587
2019-02-16,1889,0,0,1889
2019-02-17,2834,0,0,2834
2019-02-18,1084,0,0,1084
2019-02-19,514,0,0,514
2019-02-20,832,0,0,832
2019-02-21,998,0,0,998
2019-02-22,1005,0,0,1005
2019-02-23,4086,2,0,4084
2019-02-24,7466,0,0,7466
2019-02-25,1428,35,0,1393
2019-02-26,2285,0,0,2285
2019-02-27,2595,529,0,2066
2019-02-28,2135,0,0,2135
2019-03-01,6264,107,0,6157
2019-03-02,5491,0,0,5491
