date,visitors,zoo_garden_group,theme_garden_group,individual_visitors
2018-01-01,2316.0,0.0,0.0,2316.0
2018-01-02,988.0,119.0,0.0,869.0
2018-01-03,694.0,0.0,0.0,694.0
2018-01-04,671.0,1.0,0.0,670.0
2018-01-05,758.0,0.0,0.0,758.0
2018-01-06,1935.0,0.0,0.0,1935.0
2018-01-07,1881.0,0.0,0.0,1881.0
2018-01-08,634.0,0.0,0.0,634.0
2018-01-09,523.0,0.0,0.0,523.0
2018-01-10,382.0,0.0,0.0,382.0
2018-01-11,312.0,0.0,0.0,312.0
2018-01-12,228.0,0.0,0.0,228.0
2018-01-13,1015.0,0.0,0.0,1015.0
2018-01-14,1654.0,0.0,0.0,1654.0
2018-01-15,645.0,0.0,0.0,645.0
2018-01-16,699.0,0.0,0.0,699.0
2018-01-17,631.0,0.0,0.0,631.0
2018-01-18,1503.0,776.0,0.0,727.0
2018-01-19,918.0,0.0,0.0,918.0
2018-01-20,2083.0,30.0,0.0,2053.0
2018-01-21,2123.0,0.0,0.0,2123.0
2018-01-22,852.0,0.0,0.0,852.0
2018-01-23,363.0,0.0,0.0,363.0
2018-01-24,128.0,0.0,0.0,128.0
2018-01-25,162.0,0.0,0.0,162.0
2018-01-26,222.0,0.0,0.0,222.0
2018-01-27,655.0,0.0,0.0,655.0
2018-01-28,962.0,0.0,0.0,962.0
2018-01-29,409.0,0.0,0.0,409.0
2018-01-30,9660.0,,0.0,
2018-01-31,585.0,0.0,0.0,585.0
2018-02-01,679.0,0.0,0.0,679.0
2018-02-02,704.0,0.0,0.0,704.0
2018-02-03,1049.0,0.0,0.0,1049.0
2018-02-04,790.0,1.0,0.0,789.0
2018-02-05,348.0,0.0,0.0,348.0
2018-02-06,369.0,0.0,0.0,369.0
2018-02-07,418.0,0.0,0.0,418.0
2018-02-08,724.0,1.0,0.0,723.0
2018-02-09,657.0,0.0,0.0,657.0
2018-02-10,1861.0,0.0,0.0,1861.0
2018-02-11,1159.0,4.0,0.0,1155.0
2018-02-12,499.0,0.0,0.0,499.0
2018-02-13,725.0,0.0,0.0,725.0
2018-02-14,810.0,0.0,0.0,810.0
2018-02-15,1765.0,0.0,0.0,1765.0
2018-02-16,3007.0,0.0,0.0,3007.0
2018-02-17,3590.0,0.0,0.0,3590.0
2018-02-18,3370.0,0.0,0.0,3370.0
2018-02-19,1558.0,0.0,0.0,1558.0
2018-02-20,1243.0,0.0,0.0,1243.0
2018-02-21,1169.0,0.0,0.0,1169.0
2018-02-22,1348.0,0.0,0.0,1348.0
2018-02-23,1079.0,0.0,0.0,1079.0
2018-02-24,3362.0,36.0,0.0,3326.0
2018-02-25,6139.0,0.0,0.0,6139.0
2018-02-26,2252.0,0.0,0.0,2252.0
2018-02-27,1517.0,0.0,0.0,1517.0
2018-02-28,626.0,0.0,0.0,626.0
2018-03-01,3290.0,75.0,0.0,3215.0
2018-03-02,1500.0,0.0,0.0,1500.0
2018-03-03,14540.0,30.0,0.0,14510.0
2018-03-04,3619.0,0.0,0.0,3619.0
2018-03-05,1049.0,0.0,0.0,1049.0
2018-03-06,1751.0,0.0,0.0,1751.0
2018-03-07,1434.0,0.0,0.0,1434.0
2018-03-08,604.0,0.0,0.0,604.0
2018-03-09,1366.0,30.0,0.0,1336.0
2018-03-10,10723.0,0.0,0.0,10723.0
2018-03-11,14512.0,0.0,0.0,14512.0
2018-03-12,1555.0,0.0,0.0,1555.0
2018-03-13,1819.0,34.0,0.0,1785.0
2018-03-14,3032.0,30.0,0.0,3002.0
2018-03-15,390.0,0.0,0.0,390.0
2018-03-16,2101.0,0.0,0.0,2101.0
2018-03-17,21711.0,87.0,0.0,21624.0
2018-03-18,11340.0,0.0,0.0,11340.0
2018-03-19,785.0,0.0,0.0,785.0
2018-03-20,1228.0,0.0,0.0,1228.0
2018-03-21,2184.0,0.0,0.0,2184.0
2018-03-22,1559.0,0.0,41.0,1518.0
2018-03-23,1922.0,68.0,0.0,1854.0
2018-03-24,8418.0,94.0,0.0,8324.0
2018-03-25,7334.0,0.0,0.0,7334.0
2018-03-26,1227.0,0.0,0.0,1227.0
2018-03-27,1297.0,0.0,0.0,1297.0
2018-03-28,1830.0,69.0,0.0,1761.0
2018-03-29,1588.0,69.0,0.0,1519.0
2018-03-30,3670.0,618.0,0.0,3052.0
2018-03-31,24609.0,298.0,0.0,24311.0
2018-04-01,15121.0,36.0,0.0,15085.0
2018-04-02,2785.0,30.0,0.0,2755.0
2018-04-03,3689.0,218.0,53.0,3418.0
2018-04-04,2575.0,0.0,0.0,2575.0
2018-04-05,992.0,394.0,0.0,598.0
2018-04-06,3920.0,,39.0,
2018-04-07,12741.0,181.0,0.0,12560.0
2018-04-08,12683.0,0.0,0.0,12683.0
2018-04-09,5775.0,828.0,115.0,4832.0
