date,visitors,zoo_garden_group,theme_garden_group,individual_visitors
2022-01-01,1043,0,0,1043
2022-01-02,1084,0,0,1084
2022-01-03,324,0,0,324
2022-01-04,417,0,0,417
2022-01-05,349,0,0,349
2022-01-06,933,477,0,456
2022-01-07,463,0,0,463
2022-01-08,1431,0,0,1431
2022-01-09,1116,0,0,1116
2022-01-10,367,0,0,367
2022-01-11,249,0,0,249
2022-01-12,139,0,0,139
2022-01-13,1276,1046,0,230
2022-01-14,224,0,0,224
2022-01-15,1433,0,0,1433
2022-01-16,1262,0,0,1262
2022-01-17,283,0,0,283
2022-01-18,358,78,0,280
2022-01-19,240,0,0,240
2022-01-20,327,0,0,327
2022-01-21,386,0,0,386
2022-01-22,1882,0,0,1882
2022-01-23,2805,0,0,2805
2022-01-24,746,0,0,746
2022-01-25,267,0,0,267
2022-01-26,558,0,0,558
2022-01-27,476,0,0,476
2022-01-28,426,0,0,426
2022-01-29,1237,0,0,1237
2022-01-30,1951,0,0,1951
2022-01-31,2755,0,0,2755
2022-02-01,1096,0,0,1096
2022-02-02,1651,0,0,1651
2022-02-03,652,0,0,652
2022-02-04,374,0,0,374
2022-02-05,509,0,0,509
2022-02-06,860,0,0,860
2022-02-07,275,0,0,275
2022-02-08,591,0,0,591
2022-02-09,564,0,0,564
2022-02-10,704,0,0,704
2022-02-11,755,0,0,755
2022-02-12,2875,0,0,2875
2022-02-13,4327,0,0,4327
2022-02-14,721,0,0,721
2022-02-15,2350,0,0,2350
2022-02-16,282,0,0,282
2022-02-17,215,0,0,215
2022-02-18,599,0,0,599
2022-02-19,2013,0,0,2013
2022-02-20,1677,693,0,984
2022-02-21,364,0,0,364
2022-02-22,380,0,0,380
2022-02-23,337,0,0,337
2022-02-24,656,0,0,656
2022-02-25,1254,0,0,1254
2022-02-26,1947,0,0,1947
2022-02-27,6364,0,0,6364
2022-02-28,3653,10,0,3643
2022-03-01,4485,0,0,4485
2022-03-02,902,0,0,902
2022-03-03,927,0,0,927
2022-03-04,614,0,0,614
2022-03-05,2774,0,0,2774
2022-03-06,4926,0,0,4926
2022-03-07,755,0,0,755
2022-03-08,1096,0,0,1096
2022-03-09,12164,0,0,12164
2022-03-10,1044,0,0,1044
2022-03-11,1440,0,0,1440
2022-03-12,10364,0,0,10364
2022-03-13,1397,0,0,1397
2022-03-14,135,0,0,135
2022-03-15,1287,0,0,1287
2022-03-16,1520,0,0,1520
2022-03-17,2283,1450,0,833
2022-03-18,556,0,0,556
2022-03-19,504,0,0,504
2022-03-20,7728,0,0,7728
2022-03-21,1259,0,0,1259
2022-03-22,1348,0,0,1348
2022-03-23,777,0,0,777
2022-03-24,1079,0,0,1079
2022-03-25,1185,0,0,1185
2022-03-26,3615,0,0,3615
2022-03-27,15630,30,0,15600
2022-03-28,3633,1490,0,2143
2022-03-29,2389,0,0,2389
2022-03-30,670,0,0,670
2022-03-31,1516,0,0,1516
2022-04-01,3094,219,0,2875
2022-04-02,19080,0,0,19080
2022-04-03,20368,0,0,20368
2022-04-04,2616,0,0,2616
2022-04-05,2293,0,0,2293
2022-04-06,2635,0,32,2603
2022-04-07,2425,0,0,2425
2022-04-08,5368,331,33,5004
2022-04-09,22965,110,0,22855
2022-04-10,24296,0,0,24296
