date,day,visitors
2018-08-21,화,1185.0
2018-08-22,수,1501.0
2018-08-23,목,520.0
2018-08-24,금,480.0
2018-08-25,토,10258.0
2018-08-26,일,5426.0
2018-08-27,월,549.0
2018-08-28,화,644.0
2018-08-29,수,4342.0
2018-08-30,목,1066.0
2018-08-31,금,2373.0
2018-09-01,토,15182.0
2018-09-02,일,15541.0
2018-09-03,월,684.0
2018-09-04,화,2211.0
2018-09-05,수,2910.0
2018-09-06,목,2383.0
2018-09-07,금,3470.0
2018-09-08,토,22103.0
2018-09-09,일,23202.0
2018-09-10,월,3329.0
2018-09-11,화,3546.0
2018-09-12,수,3032.0
2018-09-13,목,3182.0
2018-09-14,금,3111.0
2018-09-15,토,10686.0
2018-09-16,일,9048.0
2018-09-17,월,3011.0
2018-09-18,화,3310.0
2018-09-19,수,7333.0
2018-09-20,목,1696.0
2018-09-21,금,741.0
2018-09-22,토,14301.0
2018-09-23,일,13065.0
2018-09-24,월,19661.0
2018-09-25,화,29558.0
2018-09-26,수,21131.0
2018-09-27,목,5153.0
2018-09-28,금,5910.0
2018-09-29,토,22289.0
2018-09-30,일,19868.0
2018-10-01,월,3207.0
2018-10-02,화,4863.0
2018-10-03,수,27449.0
2018-10-04,목,4159.0
2018-10-05,금,1426.0
2018-10-06,토,1355.0
2018-10-07,일,22060.0
2018-10-08,월,11611.0
2018-10-09,화,27514.0
2018-10-10,수,3384.0
2018-10-11,목,5071.0
2018-10-12,금,8295.0
2018-10-13,토,16641.0
2018-10-14,일,17762.0
2018-10-15,월,7580.0
2018-10-16,화,4861.0
2018-10-17,수,5903.0
2018-10-18,목,5146.0
2018-10-19,금,11385.0
2018-10-20,토,22515.0
2018-10-21,일,21366.0
2018-10-22,월,4455.0
2018-10-23,화,2405.0
2018-10-24,수,5240.0
2018-10-25,목,6662.0
2018-10-26,금,14286.0
2018-10-27,토,21561.0
2018-10-28,일,4916.0
2018-10-29,월,3342.0
2018-10-30,화,3786.0
2018-10-31,수,5730.0
2018-11-01,목,3923.0
2018-11-02,금,5152.0
2018-11-03,토,16626.0
2018-11-04,일,15903.0
2018-11-05,월,2780.0
2018-11-06,화,2108.0
2018-11-07,수,1321.0
2018-11-08,목,576.0
2018-11-09,금,2922.0
2018-11-10,토,6233.0
2018-11-11,일,5204.0
2018-11-12,월,2316.0
2018-11-13,화,2244.0
2018-11-14,수,2219.0
2018-11-15,목,1911.0
2018-11-16,금,1626.0
2018-11-17,토,6659.0
2018-11-18,일,6404.0
2018-11-19,월,1383.0
2018-11-20,화,1427.0
2018-11-21,수,893.0
2018-11-22,목,4964.0
2018-11-23,금,1208.0
2018-11-24,토,1404.0
2018-11-25,일,3699.0
2018-11-26,월,1169.0
2018-11-27,화,923.0
2018-11-28,수,895.0
2018-11-29,목,8472.0
2018-11-30,금,987.0
2018-12-01,토,4005.0
2018-12-02,일,3381.0
2018-12-03,월,356.0
2018-12-04,화,610.0
2018-12-05,수,815.0
