date,visitors,zoo_garden_group,theme_garden_group,individual_visitors
2023-01-01,1268,0,0,1268
2023-01-02,365,0,0,365
2023-01-03,345,0,0,345
2023-01-04,428,0,0,428
2023-01-05,439,0,0,439
2023-01-06,424,0,0,424
2023-01-07,878,0,0,878
2023-01-08,1260,0,0,1260
2023-01-09,542,0,0,542
2023-01-10,608,0,0,608
2023-01-11,578,0,0,578
2023-01-12,960,32,0,928
2023-01-13,235,32,0,203
2023-01-14,542,0,0,542
2023-01-15,499,0,0,499
2023-01-16,317,0,0,317
2023-01-17,356,0,0,356
2023-01-18,356,0,0,356
2023-01-19,453,0,0,453
2023-01-20,252,0,0,252
2023-01-21,795,0,0,795
2023-01-22,1146,0,0,1146
2023-01-23,2810,38,0,2772
2023-01-24,209,0,0,209
2023-01-25,135,0,0,135
2023-01-26,288,0,0,288
2023-01-27,1206,917,0,289
2023-01-28,1930,1323,0,607
2023-01-29,1210,0,0,1210
2023-01-30,411,0,0,411
2023-01-31,509,0,0,509
2023-02-01,500,0,0,500
2023-02-02,468,0,0,468
2023-02-03,476,58,0,418
2023-02-04,2439,0,0,2439
2023-02-05,2909,0,0,2909
2023-02-06,779,0,0,779
2023-02-07,725,0,0,725
2023-02-08,749,0,0,749
2023-02-09,906,0,31,875
2023-02-10,570,0,0,570
2023-02-11,4339,30,0,4309
2023-02-12,4164,0,0,4164
2023-02-13,968,0,0,968
2023-02-14,884,37,0,847
2023-02-15,886,0,0,886
2023-02-16,727,0,0,727
2023-02-17,1121,0,0,1121
2023-02-18,2880,32,0,2848
2023-02-19,2869,0,0,2869
2023-02-20,811,0,0,811
2023-02-21,627,0,0,627
2023-02-22,898,0,0,898
2023-02-23,1425,0,0,1425
2023-02-24,1658,121,0,1537
2023-02-25,3987,54,0,3933
2023-02-26,5228,0,0,5228
2023-02-27,3538,830,0,2708
2023-02-28,3603,1178,0,2425
2023-03-01,7457,0,0,7457
2023-03-02,768,0,0,768
2023-03-03,792,0,0,792
2023-03-04,7806,0,0,7806
2023-03-05,9254,0,0,9254
2023-03-06,1039,0,0,1039
2023-03-07,1119,0,0,1119
2023-03-08,792,0,0,792
2023-03-09,632,0,0,632
2023-03-10,1533,134,0,1399
2023-03-11,15428,60,0,15368
2023-03-12,539,31,0,508
2023-03-13,551,0,0,551
2023-03-14,1070,0,0,1070
2023-03-15,914,0,0,914
2023-03-16,898,0,0,898
2023-03-17,1179,30,0,1149
2023-03-18,11932,70,0,11862
2023-03-19,12194,0,0,12194
2023-03-20,1353,0,0,1353
2023-03-21,1544,0,0,1544
2023-03-22,1525,0,0,1525
2023-03-23,3426,2285,0,1141
2023-03-24,1677,40,0,1637
2023-03-25,13180,78,45,13057
2023-03-26,19974,3001,0,16973
2023-03-27,2008,0,0,2008
2023-03-28,1983,0,0,1983
2023-03-29,2199,35,0,2164
2023-03-30,2758,0,0,2758
2023-03-31,4248,30,0,4218
2023-04-01,24827,38,0,24789
2023-04-02,26129,0,0,26129
2023-04-03,7318,75,0,7243
2023-04-04,3674,0,0,3674
2023-04-05,248,0,0,248
2023-04-06,859,35,117,707
2023-04-07,3409,626,93,2690
2023-04-08,13460,153,0,13307
2023-04-09,15723,0,0,15723
2023-04-10,3076,32,0,3044
2023-04-11,542,203,0,339
2023-04-12,1802,140,76,1586
2023-04-13,4630,2591,56,1983
2023-04-14,3123,537,109,2477
2023-04-15,3738,162,0,3576
2023-04-16,8295,91,0,8204
2023-04-17,7058,4547,0,2511
2023-04-18,810,114,0,696
2023-04-19,4066,370,235,3461
2023-04-20,2688,545,111,2032
2023-04-21,5455,1400,514,3541
2023-04-22,14297,156,0,14141
2023-04-23,14121,0,0,14121
2023-04-24,3371,415,168,2788
2023-04-25,1048,320,0,728
2023-04-26,3444,787,379,2278
2023-04-27,7353,3116,606,3631
2023-04-28,5908,1380,744,3784
2023-04-29,13909,12472,0,1437
2023-04-30,17773,105,0,17668
2023-05-01,18777,0,0,18777
2023-05-02,3720,459,202,3059
2023-05-03,4919,1180,294,3445
2023-05-04,6185,1843,359,3983
2023-05-05,1286,0,0,1286
2023-05-06,941,0,0,941
2023-05-07,8043,210,32,7801
2023-05-08,3305,76,44,3185
2023-05-09,3769,423,97,3249
2023-05-10,4410,925,315,3170
2023-05-11,6468,1829,1020,3619
2023-05-12,6220,1569,619,4032
2023-05-13,16168,1079,30,15059
2023-05-14,15901,172,0,15729
2023-05-15,3859,465,0,3394
2023-05-16,4721,743,558,3420
2023-05-17,4850,1031,424,3395
2023-05-18,5966,1287,921,3758
2023-05-19,7478,1280,973,5225
2023-05-20,16102,182,0,15920
2023-05-21,15214,96,36,15082
2023-05-22,4135,310,47,3778
2023-05-23,5286,241,436,4609
2023-05-24,6226,618,175,5433
2023-05-25,7652,916,327,6409
2023-05-26,6831,1056,249,5526
2023-05-27,4392,0,0,4392
2023-05-28,23283,21878,0,1405
2023-05-29,15771,0,0,15771
2023-05-30,4358,133,285,3940
2023-05-31,7039,575,373,6091
2023-06-01,5057,324,301,4432
2023-06-02,4943,456,379,4108
2023-06-03,16661,206,0,16455
2023-06-04,18113,35,0,18078
2023-06-05,9332,69,0,9263
2023-06-06,19754,0,31,19723
2023-06-07,2314,0,68,2246
2023-06-08,2180,280,93,1807
2023-06-09,2712,95,69,2548
2023-06-10,6621,98,0,6523
2023-06-11,7252,0,0,7252
2023-06-12,2158,74,36,2048
2023-06-13,2238,0,241,1997
2023-06-14,1942,226,40,1676
2023-06-15,2030,34,150,1846
2023-06-16,2162,89,172,1901
2023-06-17,7570,31,30,7509
2023-06-18,5725,0,0,5725
2023-06-19,967,34,0,933
2023-06-20,1390,120,0,1270
2023-06-21,495,0,0,495
2023-06-22,2088,176,55,1857
2023-06-23,1713,70,92,1551
2023-06-24,5590,86,0,5504
2023-06-25,3946,166,0,3780
2023-06-26,375,45,0,330
2023-06-27,15950,14729,157,1064
2023-06-28,1011,0,0,1011
2023-06-29,131,0,0,131
2023-06-30,1794,956,30,808
2023-07-01,2821,0,0,2821
2023-07-02,2872,0,0,2872
2023-07-03,545,0,0,545
2023-07-04,419,0,0,419
2023-07-05,855,0,0,855
2023-07-06,795,0,0,795
2023-07-07,834,32,38,764
2023-07-08,4459,30,0,4429
2023-07-09,1053,0,0,1053
2023-07-10,559,35,0,524
2023-07-11,430,81,0,349
2023-07-12,923,30,0,893
2023-07-13,132,0,0,132
2023-07-14,166,0,0,166
2023-07-15,1324,0,0,1324
2023-07-16,1889,30,0,1859
2023-07-17,851,145,0,706
2023-07-18,392,0,0,392
2023-07-19,1244,35,0,1209
2023-07-20,1042,0,34,1008
2023-07-21,2577,0,0,2577
2023-07-22,2173,0,0,2173
2023-07-23,392,0,0,392
2023-07-24,1150,0,0,1150
2023-07-25,12014,10178,812,1024
2023-07-26,1002,0,0,1002
2023-07-27,1014,34,0,980
2023-07-28,900,0,0,900
2023-07-29,1549,0,0,1549
2023-07-30,1459,0,0,1459
2023-07-31,1290,0,0,1290
2023-08-01,1032,39,0,993
2023-08-02,896,0,0,896
2023-08-03,757,0,0,757
2023-08-04,715,1,0,714
2023-08-05,1009,0,0,1009
2023-08-06,841,0,0,841
2023-08-07,432,0,0,432
2023-08-08,437,0,0,437
2023-08-09,614,0,0,614
2023-08-10,54,0,0,54
2023-08-11,400,0,0,400
2023-08-12,4591,0,0,4591
2023-08-13,5847,0,0,5847
2023-08-14,1573,0,0,1573
2023-08-15,3626,0,0,3626
2023-08-16,1430,7002,0,-5572
2023-08-17,747,0,0,747
2023-08-18,523,0,0,523
2023-08-19,1969,0,0,1969
2023-08-20,2441,0,0,2441
2023-08-21,615,0,0,615
2023-08-22,398,0,0,398
2023-08-23,273,0,0,273
2023-08-24,588,0,0,588
2023-08-25,832,0,0,832
2023-08-26,5372,0,0,5372
2023-08-27,9460,2574,119,6767
2023-08-28,302,0,0,302
2023-08-29,203,0,0,203
2023-08-30,557,0,0,557
2023-08-31,1374,0,0,1374
2023-09-01,1401,0,0,1401
2023-09-02,10082,0,0,10082
2023-09-03,6528,0,0,6528
2023-09-04,1689,0,0,1689
2023-09-05,974,0,0,974
2023-09-06,1017,62,95,860
2023-09-07,1141,0,41,1100
2023-09-08,1705,106,119,1480
2023-09-09,8358,74,0,8284
2023-09-10,9018,0,0,9018
2023-09-11,1391,75,0,1316
2023-09-12,1124,0,0,1124
2023-09-13,716,136,38,542
2023-09-14,2969,986,307,1676
2023-09-15,535,166,0,369
2023-09-16,4664,442,0,4222
2023-09-17,7474,91,0,7383
2023-09-18,1782,199,0,1583
2023-09-19,2269,235,47,1987
2023-09-20,459,67,0,392
2023-09-21,3053,873,276,1904
2023-09-22,3056,326,132,2598
2023-09-23,13095,36,30,13029
2023-09-24,15138,70,0,15068
2023-09-25,1631,95,0,1536
2023-09-26,374,105,43,226
2023-09-27,788,0,0,788
2023-09-28,11864,0,0,11864
2023-09-29,20239,3469,131,16639
2023-09-30,13801,32,0,13769
2023-10-01,22044,0,0,22044
2023-10-02,23408,0,0,23408
2023-10-03,15126,31,0,15095
2023-10-04,3061,1073,144,1844
2023-10-05,2908,249,380,2279
