,date,visitors,zoo_garden_group,theme_garden_group,individual_visitors,day,is_rainy
0,2023-01-01,1268,0,0,1268,일,비안옴
1,2023-01-02,365,0,0,365,월,비안옴
2,2023-01-03,345,0,0,345,화,비안옴
3,2023-01-04,428,0,0,428,수,비안옴
4,2023-01-05,439,0,0,439,목,비안옴
5,2023-01-06,424,0,0,424,금,비옴
6,2023-01-07,878,0,0,878,토,비옴
7,2023-01-08,1260,0,0,1260,일,비안옴
8,2023-01-09,542,0,0,542,월,비안옴
9,2023-01-10,608,0,0,608,화,비안옴
10,2023-01-11,578,0,0,578,수,비안옴
11,2023-01-12,960,32,0,928,목,비안옴
12,2023-01-13,235,32,0,203,금,비옴
13,2023-01-14,542,0,0,542,토,비옴
14,2023-01-15,499,0,0,499,일,비옴
15,2023-01-16,317,0,0,317,월,비안옴
16,2023-01-17,356,0,0,356,화,비안옴
17,2023-01-18,356,0,0,356,수,비안옴
18,2023-01-19,453,0,0,453,목,비안옴
19,2023-01-20,252,0,0,252,금,비옴
20,2023-01-21,795,0,0,795,토,비안옴
21,2023-01-22,1146,0,0,1146,일,비안옴
22,2023-01-23,2810,38,0,2772,월,비안옴
23,2023-01-24,209,0,0,209,화,비안옴
24,2023-01-25,135,0,0,135,수,비안옴
25,2023-01-26,288,0,0,288,목,비옴
26,2023-01-27,1206,917,0,289,금,비안옴
27,2023-01-28,1930,1323,0,607,토,비안옴
28,2023-01-29,1210,0,0,1210,일,비안옴
29,2023-01-30,411,0,0,411,월,비안옴
30,2023-01-31,509,0,0,509,화,비안옴
31,2023-02-01,500,0,0,500,수,비안옴
32,2023-02-02,468,0,0,468,목,비안옴
33,2023-02-03,476,58,0,418,금,비안옴
34,2023-02-04,2439,0,0,2439,토,비안옴
35,2023-02-05,2909,0,0,2909,일,비안옴
36,2023-02-06,779,0,0,779,월,비안옴
37,2023-02-07,725,0,0,725,화,비안옴
38,2023-02-08,749,0,0,749,수,비안옴
39,2023-02-09,906,0,31,875,목,비안옴
40,2023-02-10,570,0,0,570,금,비옴
41,2023-02-11,4339,30,0,4309,토,비안옴
42,2023-02-12,4164,0,0,4164,일,비안옴
43,2023-02-13,968,0,0,968,월,비안옴
44,2023-02-14,884,37,0,847,화,비안옴
45,2023-02-15,886,0,0,886,수,비안옴
46,2023-02-16,727,0,0,727,목,비안옴
47,2023-02-17,1121,0,0,1121,금,비안옴
48,2023-02-18,2880,32,0,2848,토,비안옴
49,2023-02-19,2869,0,0,2869,일,비옴
50,2023-02-20,811,0,0,811,월,비안옴
51,2023-02-21,627,0,0,627,화,비안옴
52,2023-02-22,898,0,0,898,수,비안옴
53,2023-02-23,1425,0,0,1425,목,비안옴
54,2023-02-24,1658,121,0,1537,금,비안옴
