date,day,visitors,M열,U열
2020-06-28,일,6639.0,0,0
2020-06-29,월,1703.0,365,30
2020-06-30,화,658.0,0,0
2020-07-01,수,1726.0,0,0
2020-07-02,목,1617.0,0,0
2020-07-03,금,1699.0,0,0
2020-07-04,토,7165.0,0,0
2020-07-05,일,7115.0,0,0
2020-07-06,월,1361.0,0,0
2020-07-07,화,1566.0,82,0
2020-07-08,수,1283.0,0,0
2020-07-09,목,1276.0,0,0
2020-07-10,금,1563.0,776,0
2020-07-11,토,6522.0,0,0
2020-07-12,일,6632.0,0,0
2020-07-13,월,166.0,0,0
2020-07-14,화,1600.0,0,0
2020-07-15,수,1945.0,69,0
2020-07-16,목,1505.0,39,0
2020-07-17,금,1382.0,0,0
2020-07-18,토,6974.0,0,0
2020-07-19,일,1990.0,0,0
2020-07-20,월,777.0,0,0
2020-07-21,화,1683.0,0,0
2020-07-22,수,625.0,69,0
2020-07-23,목,341.0,0,0
2020-07-24,금,773.0,0,0
2020-07-25,토,8869.0,30,0
2020-07-26,일,8223.0,0,0
2020-07-27,월,887.0,0,0
2020-07-28,화,1343.0,0,0
2020-07-29,수,4484.0,3924,0
2020-07-30,목,1977.0,0,0
2020-07-31,금,2922.0,0,0
2020-08-01,토,1751.0,0,0
2020-08-02,일,744.0,0,0
2020-08-03,월,324.0,0,0
2020-08-04,화,1248.0,0,0
2020-08-05,수,707.0,0,0
2020-08-06,목,858.0,0,0
2020-08-07,금,2138.0,0,0
2020-08-08,토,2916.0,0,0
2020-08-09,일,250.0,0,0
2020-08-10,월,775.0,30,0
2020-08-11,화,688.0,0,0
2020-08-12,수,2017.0,30,0
2020-08-13,목,1547.0,0,0
2020-08-14,금,953.0,0,0
2020-08-15,토,1162.0,0,0
2020-08-16,일,6705.0,0,0
2020-08-17,월,3880.0,0,0
2020-08-18,화,801.0,0,0
2020-08-19,수,1599.0,0,0
2020-08-20,목,556.0,31,0
2020-08-21,금,507.0,0,0
2020-08-22,토,976.0,0,0
2020-08-23,일,1923.0,0,0
2020-08-24,월,571.0,0,0
2020-08-25,화,504.0,0,0
2020-08-26,수,445.0,0,0
2020-08-27,목,323.0,0,0
2020-08-28,금,439.0,0,0
2020-08-29,토,756.0,0,0
2020-08-30,일,1491.0,0,0
2020-08-31,월,757.0,0,0
2020-09-01,화,910.0,0,0
2020-09-02,수,265.0,0,0
2020-09-03,목,4967.0,4013,0
2020-09-04,금,1984.0,0,0
2020-09-05,토,4480.0,0,0
2020-09-06,일,3416.0,0,0
