,date,visitors,zoo_garden_group,theme_garden_group,individual_visitors,day,is_rainy
0,2019-01-01,1524,0,0,1524,화,비안옴
1,2019-01-02,634,0,0,634,수,비안옴
2,2019-01-03,777,0,0,777,목,비안옴
3,2019-01-04,690,0,0,690,금,비안옴
4,2019-01-05,1601,0,0,1601,토,비안옴
5,2019-01-06,2057,0,0,2057,일,비안옴
6,2019-01-07,773,0,0,773,월,비안옴
7,2019-01-08,804,0,0,804,화,비안옴
8,2019-01-09,529,0,0,529,수,비안옴
9,2019-01-10,839,31,0,808,목,비안옴
10,2019-01-11,814,0,0,814,금,비안옴
11,2019-01-12,1855,30,0,1825,토,비안옴
12,2019-01-13,1680,30,0,1650,일,비안옴
13,2019-01-14,433,0,0,433,월,비안옴
14,2019-01-15,493,0,0,493,화,비안옴
15,2019-01-16,674,0,0,674,수,비안옴
16,2019-01-17,1220,301,0,919,목,비안옴
17,2019-01-18,810,0,0,810,금,비안옴
18,2019-01-19,1738,0,0,1738,토,비안옴
19,2019-01-20,2064,0,0,2064,일,비안옴
20,2019-01-21,731,0,0,731,월,비안옴
21,2019-01-22,988,0,38,950,화,비안옴
22,2019-01-23,756,0,0,756,수,비안옴
23,2019-01-24,1010,0,0,1010,목,비안옴
24,2019-01-25,882,0,0,882,금,비안옴
25,2019-01-26,2023,73,0,1950,토,비안옴
26,2019-01-27,2391,0,0,2391,일,비안옴
27,2019-01-28,703,0,0,703,월,비안옴
28,2019-01-29,938,0,0,938,화,비안옴
29,2019-01-30,716,0,0,716,수,비안옴
30,2019-01-31,1624,934,0,690,목,비안옴
31,2019-02-01,626,0,0,626,금,비안옴
32,2019-02-02,1630,32,0,1598,토,비안옴
33,2019-02-03,405,30,0,375,일,비옴
34,2019-02-04,2550,0,0,2550,월,비안옴
35,2019-02-05,3855,30,0,3825,화,비안옴
36,2019-02-06,4046,0,0,4046,수,비안옴
37,2019-02-07,996,0,0,996,목,비안옴
38,2019-02-08,771,192,0,579,금,비안옴
39,2019-02-09,1771,63,0,1708,토,비안옴
40,2019-02-10,1652,0,0,1652,일,비안옴
41,2019-02-11,732,0,0,732,월,비안옴
