date,visitors,zoo_garden_group,theme_garden_group,individual_visitors
2020-06-05,2268.0,0,30,2238.0
2020-06-06,9246.0,31,0,9215.0
2020-06-07,8306.0,0,0,8306.0
2020-06-08,1799.0,0,0,1799.0
2020-06-09,1584.0,0,0,1584.0
2020-06-10,1546.0,0,0,1546.0
2020-06-11,1565.0,0,0,1565.0
2020-06-12,1819.0,0,0,1819.0
2020-06-13,4621.0,0,0,4621.0
2020-06-14,6533.0,0,30,6503.0
2020-06-15,1793.0,0,0,1793.0
2020-06-16,1702.0,0,0,1702.0
2020-06-17,1693.0,0,0,1693.0
2020-06-18,3264.0,1175,0,2089.0
2020-06-19,1826.0,0,0,1826.0
2020-06-20,6019.0,0,0,6019.0
2020-06-21,5512.0,0,0,5512.0
2020-06-22,975.0,0,0,975.0
2020-06-23,1341.0,0,0,1341.0
2020-06-24,259.0,0,0,259.0
2020-06-25,767.0,0,0,767.0
2020-06-26,9415.0,7743,0,1672.0
2020-06-27,6844.0,39,0,6805.0
2020-06-28,6639.0,0,0,6639.0
2020-06-29,1703.0,365,30,1308.0
2020-06-30,658.0,0,0,658.0
2020-07-01,1726.0,0,0,1726.0
2020-07-02,1617.0,0,0,1617.0
2020-07-03,1699.0,0,0,1699.0
2020-07-04,7165.0,0,0,7165.0
2020-07-05,7115.0,0,0,7115.0
2020-07-06,1361.0,0,0,1361.0
2020-07-07,1566.0,82,0,1484.0
2020-07-08,1283.0,0,0,1283.0
2020-07-09,1276.0,0,0,1276.0
2020-07-10,1563.0,776,0,787.0
2020-07-11,6522.0,0,0,6522.0
2020-07-12,6632.0,0,0,6632.0
2020-07-13,166.0,0,0,166.0
2020-07-14,1600.0,0,0,1600.0
2020-07-15,1945.0,69,0,1876.0
2020-07-16,1505.0,39,0,1466.0
2020-07-17,1382.0,0,0,1382.0
2020-07-18,6974.0,0,0,6974.0
2020-07-19,1990.0,0,0,1990.0
2020-07-20,777.0,0,0,777.0
2020-07-21,1683.0,0,0,1683.0
2020-07-22,625.0,69,0,556.0
2020-07-23,341.0,0,0,341.0
2020-07-24,773.0,0,0,773.0
2020-07-25,8869.0,30,0,8839.0
2020-07-26,8223.0,0,0,8223.0
2020-07-27,887.0,0,0,887.0
2020-07-28,1343.0,0,0,1343.0
2020-07-29,4484.0,3924,0,560.0
2020-07-30,1977.0,0,0,1977.0
2020-07-31,2922.0,0,0,2922.0
2020-08-01,1751.0,0,0,1751.0
2020-08-02,744.0,0,0,744.0
2020-08-03,324.0,0,0,324.0
2020-08-04,1248.0,0,0,1248.0
2020-08-05,707.0,0,0,707.0
2020-08-06,858.0,0,0,858.0
2020-08-07,2138.0,0,0,2138.0
2020-08-08,2916.0,0,0,2916.0
2020-08-09,250.0,0,0,250.0
2020-08-10,775.0,30,0,745.0
2020-08-11,688.0,0,0,688.0
2020-08-12,2017.0,30,0,1987.0
2020-08-13,1547.0,0,0,1547.0
2020-08-14,953.0,0,0,953.0
2020-08-15,1162.0,0,0,1162.0
2020-08-16,6705.0,0,0,6705.0
2020-08-17,3880.0,0,0,3880.0
2020-08-18,801.0,0,0,801.0
2020-08-19,1599.0,0,0,1599.0
2020-08-20,556.0,31,0,525.0
2020-08-21,507.0,0,0,507.0
2020-08-22,976.0,0,0,976.0
2020-08-23,1923.0,0,0,1923.0
2020-08-24,571.0,0,0,571.0
2020-08-25,504.0,0,0,504.0
2020-08-26,445.0,0,0,445.0
2020-08-27,323.0,0,0,323.0
2020-08-28,439.0,0,0,439.0
2020-08-29,756.0,0,0,756.0
2020-08-30,1491.0,0,0,1491.0
2020-08-31,757.0,0,0,757.0
2020-09-01,910.0,0,0,910.0
2020-09-02,265.0,0,0,265.0
2020-09-03,4967.0,4013,0,954.0
2020-09-04,1984.0,0,0,1984.0
2020-09-05,4480.0,0,0,4480.0
2020-09-06,3416.0,0,0,3416.0
2020-09-07,76.0,0,0,76.0
2020-09-08,2201.0,0,0,2201.0
2020-09-09,1003.0,0,0,1003.0
2020-09-10,2243.0,179,0,2064.0
2020-09-11,1557.0,0,0,1557.0
2020-09-12,2947.0,30,0,2917.0
2020-09-13,12859.0,0,0,12859.0
2020-09-14,2085.0,0,0,2085.0
2020-09-15,2066.0,0,0,2066.0
2020-09-16,820.0,0,0,820.0
2020-09-17,1990.0,0,0,1990.0
2020-09-18,3086.0,0,0,3086.0
2020-09-19,12178.0,0,0,12178.0
2020-09-20,13140.0,0,0,13140.0
2020-09-21,2247.0,0,0,2247.0
2020-09-22,2214.0,0,0,2214.0
2020-09-23,2052.0,0,0,2052.0
2020-09-24,2298.0,0,0,2298.0
2020-09-25,2335.0,47,0,2288.0
2020-09-26,13447.0,30,0,13417.0
2020-09-27,16860.0,1400,0,15460.0
2020-09-28,2594.0,0,0,2594.0
2020-09-29,2608.0,0,0,2608.0
2020-09-30,8986.0,0,0,8986.0
2020-10-01,12365.0,0,0,12365.0
2020-10-02,14323.0,0,0,14323.0
2020-10-03,17995.0,0,0,17995.0
2020-10-04,12932.0,0,0,12932.0
2020-10-05,2634.0,0,0,2634.0
2020-10-06,2407.0,0,0,2407.0
2020-10-07,2600.0,0,0,2600.0
2020-10-08,3057.0,0,0,3057.0
2020-10-09,20177.0,0,0,20177.0
2020-10-10,16405.0,30,0,16375.0
2020-10-11,16264.0,0,0,16264.0
2020-10-12,2757.0,0,0,2757.0
2020-10-13,2857.0,0,0,2857.0
2020-10-14,2933.0,0,0,2933.0
2020-10-15,4093.0,0,0,4093.0
2020-10-16,2772.0,33,0,2739.0
2020-10-17,16441.0,0,0,16441.0
2020-10-18,19461.0,0,0,19461.0
2020-10-19,3141.0,36,46,3059.0
2020-10-20,3559.0,0,33,3526.0
2020-10-21,3093.0,287,0,2806.0
2020-10-22,2704.0,30,40,2634.0
2020-10-23,4009.0,78,0,3931.0
2020-10-24,16500.0,62,0,16438.0
2020-10-25,19042.0,214,0,18828.0
2020-10-26,4035.0,0,215,3820.0
2020-10-27,3842.0,50,42,3750.0
2020-10-28,11655.0,7658,0,3997.0
2020-10-29,4267.0,66,30,4171.0
2020-10-30,4856.0,136,36,4684.0
2020-10-31,20185.0,0,0,20185.0
2020-11-01,2763.0,0,0,2763.0
2020-11-02,3832.0,36,0,3796.0
2020-11-03,2520.0,74,0,2446.0
2020-11-04,2146.0,197,0,1949.0
2020-11-05,3091.0,62,0,3029.0
2020-11-06,2812.0,326,36,2450.0
2020-11-07,12821.0,0,0,12821.0
2020-11-08,14694.0,30,0,14664.0
2020-11-09,1919.0,0,0,1919.0
2020-11-10,2248.0,0,54,2194.0
2020-11-11,2747.0,119,0,2628.0
2020-11-12,2673.0,60,0,2613.0
2020-11-13,3375.0,0,0,3375.0
2020-11-14,9802.0,0,0,9802.0
2020-11-15,9447.0,0,0,9447.0
2020-11-16,1811.0,0,0,1811.0
2020-11-17,1685.0,0,0,1685.0
2020-11-18,809.0,0,0,809.0
2020-11-19,256.0,0,0,256.0
2020-11-20,976.0,0,0,976.0
2020-11-21,4101.0,0,0,4101.0
2020-11-22,2557.0,0,0,2557.0
2020-11-23,762.0,0,0,762.0
