,date,visitors,zoo_garden_group,theme_garden_group,individual_visitors,day,is_rainy
0,2021-01-01,633,0,0,633,금,비안옴
1,2021-01-02,928,0,0,928,토,비안옴
2,2021-01-03,625,0,0,625,일,비안옴
3,2021-01-04,199,0,0,199,월,비안옴
4,2021-01-05,162,0,0,162,화,비안옴
5,2021-01-06,265,0,0,265,수,비옴
6,2021-01-07,74,0,0,74,목,비안옴
7,2021-01-08,63,0,0,63,금,비안옴
8,2021-01-09,165,0,0,165,토,비안옴
9,2021-01-10,527,0,0,527,일,비안옴
10,2021-01-11,103,0,0,103,월,비안옴
11,2021-01-12,176,0,0,176,화,비옴
12,2021-01-13,851,597,0,254,수,비안옴
13,2021-01-14,446,0,0,446,목,비안옴
14,2021-01-15,283,0,0,283,금,비안옴
15,2021-01-16,1147,0,0,1147,토,비안옴
16,2021-01-17,771,0,0,771,일,비옴
17,2021-01-18,87,0,0,87,월,비안옴
18,2021-01-19,158,0,0,158,화,비안옴
19,2021-01-20,398,0,0,398,수,비안옴
20,2021-01-21,200,0,0,200,목,비옴
21,2021-01-22,343,0,0,343,금,비안옴
22,2021-01-23,4556,0,0,4556,토,비안옴
23,2021-01-24,8227,0,0,8227,일,비안옴
24,2021-01-25,1132,0,0,1132,월,비안옴
25,2021-01-26,218,0,0,218,화,비옴
26,2021-01-27,745,0,0,745,수,비안옴
27,2021-01-28,119,0,0,119,목,비옴
28,2021-01-29,107,0,0,107,금,비안옴
29,2021-01-30,1503,0,0,1503,토,비안옴
30,2021-01-31,4007,0,0,4007,일,비안옴
31,2021-02-01,515,0,0,515,월,비안옴
32,2021-02-02,192,0,0,192,화,비안옴
33,2021-02-03,208,0,0,208,수,비옴
34,2021-02-04,244,0,0,244,목,비옴
35,2021-02-05,361,0,0,361,금,비안옴
36,2021-02-06,3512,0,0,3512,토,비안옴
37,2021-02-07,2477,0,0,2477,일,비안옴
38,2021-02-08,246,0,0,246,월,비안옴
39,2021-02-09,371,0,0,371,화,비안옴
40,2021-02-10,682,0,0,682,수,비안옴
41,2021-02-11,3950,0,0,3950,목,비안옴
42,2021-02-12,5530,0,0,5530,금,비안옴
43,2021-02-13,7588,0,0,7588,토,비안옴
44,2021-02-14,4395,0,0,4395,일,비안옴
45,2021-02-15,456,0,0,456,월,비안옴
