,date,visitors,zoo_garden_group,theme_garden_group,individual_visitors,day,is_rainy
0,2020-01-01,1239.0,0,0,1239.0,수,비안옴
1,2020-01-02,866.0,0,0,866.0,목,비안옴
2,2020-01-03,812.0,0,0,812.0,금,비안옴
3,2020-01-04,2059.0,0,0,2059.0,토,비안옴
4,2020-01-05,2721.0,0,0,2721.0,일,비안옴
5,2020-01-06,466.0,17,0,449.0,월,비옴
6,2020-01-07,281.0,0,0,281.0,화,비옴
7,2020-01-08,622.0,0,0,622.0,수,비옴
8,2020-01-09,1282.0,0,0,1282.0,목,비안옴
9,2020-01-10,786.0,0,0,786.0,금,비안옴
10,2020-01-11,1961.0,0,0,1961.0,토,비안옴
11,2020-01-12,2180.0,0,0,2180.0,일,비안옴
12,2020-01-13,732.0,0,0,732.0,월,비안옴
13,2020-01-14,895.0,111,0,784.0,화,비안옴
14,2020-01-15,857.0,60,0,797.0,수,비안옴
15,2020-01-16,762.0,0,0,762.0,목,비안옴
16,2020-01-17,674.0,0,0,674.0,금,비안옴
17,2020-01-18,2425.0,79,0,2346.0,토,비안옴
18,2020-01-19,1539.0,0,0,1539.0,일,비옴
19,2020-01-20,761.0,0,0,761.0,월,비안옴
20,2020-01-21,763.0,0,0,763.0,화,비안옴
21,2020-01-22,780.0,0,0,780.0,수,비안옴
22,2020-01-23,809.0,0,0,809.0,목,비안옴
23,2020-01-24,2041.0,0,0,2041.0,금,비안옴
24,2020-01-25,3800.0,0,0,3800.0,토,비안옴
25,2020-01-26,4597.0,0,0,4597.0,일,비안옴
26,2020-01-27,2236.0,0,0,2236.0,월,비옴
27,2020-01-28,925.0,0,0,925.0,화,비안옴
28,2020-01-29,757.0,0,0,757.0,수,비안옴
29,2020-01-30,2013.0,1212,0,801.0,목,비안옴
30,2020-01-31,628.0,0,0,628.0,금,비안옴
31,2020-02-01,1251.0,0,0,1251.0,토,비안옴
32,2020-02-02,1142.0,0,0,1142.0,일,비안옴
33,2020-02-03,521.0,0,0,521.0,월,비안옴
34,2020-02-04,480.0,0,0,480.0,화,비옴
35,2020-02-05,301.0,0,0,301.0,수,비안옴
36,2020-02-06,343.0,0,0,343.0,목,비안옴
37,2020-02-07,415.0,0,0,415.0,금,비안옴
38,2020-02-08,1313.0,87,0,1226.0,토,비안옴
39,2020-02-09,1484.0,0,0,1484.0,일,비안옴
40,2020-02-10,760.0,0,0,760.0,월,비안옴
41,2020-02-11,987.0,0,0,987.0,화,비안옴
42,2020-02-12,278.0,0,0,278.0,수,비옴
43,2020-02-13,721.0,0,0,721.0,목,비안옴
44,2020-02-14,1049.0,0,0,1049.0,금,비안옴
45,2020-02-15,3226.0,0,0,3226.0,토,비옴
46,2020-02-16,665.0,0,0,665.0,일,비옴
47,2020-02-17,378.0,0,0,378.0,월,비옴
48,2020-02-18,630.0,0,0,630.0,화,비안옴
49,2020-02-19,822.0,0,0,822.0,수,비안옴
50,2020-02-20,882.0,0,0,882.0,목,비안옴
51,2020-02-21,565.0,0,0,565.0,금,비옴
52,2020-02-22,791.0,0,0,791.0,토,비옴
53,2020-02-23,1714.0,0,0,1714.0,일,비안옴
54,2020-02-24,519.0,0,0,519.0,월,비안옴
55,2020-02-25,77.0,0,0,77.0,화,비옴
56,2020-02-26,1275.0,702,0,573.0,수,비안옴
57,2020-02-27,687.0,0,0,687.0,목,비안옴
58,2020-02-28,1210.0,1086,0,124.0,금,비옴
59,2020-02-29,1384.0,0,0,1384.0,토,비옴
60,2020-03-01,1062.0,0,0,1062.0,일,비안옴
61,2020-03-02,566.0,0,0,566.0,월,비안옴
62,2020-03-03,569.0,0,0,569.0,화,비안옴
63,2020-03-04,372.0,0,0,372.0,수,비안옴
64,2020-03-05,585.0,0,0,585.0,목,비안옴
65,2020-03-06,793.0,0,0,793.0,금,비안옴
66,2020-03-07,2138.0,0,0,2138.0,토,비안옴
67,2020-03-08,4584.0,0,0,4584.0,일,비안옴
68,2020-03-09,920.0,0,0,920.0,월,비안옴
69,2020-03-10,134.0,0,0,134.0,화,비옴
70,2020-03-11,1117.0,0,0,1117.0,수,비안옴
71,2020-03-12,1212.0,0,0,1212.0,목,비안옴
72,2020-03-13,907.0,0,0,907.0,금,비옴
73,2020-03-14,3569.0,0,0,3569.0,토,비안옴
74,2020-03-15,2683.0,0,0,2683.0,일,비안옴
75,2020-03-16,869.0,0,0,869.0,월,비안옴
76,2020-03-17,596.0,0,0,596.0,화,비안옴
77,2020-03-18,1808.0,0,0,1808.0,수,비안옴
78,2020-03-19,178.0,0,0,178.0,목,비안옴
79,2020-03-20,1569.0,0,0,1569.0,금,비안옴
80,2020-03-21,5907.0,0,0,5907.0,토,비안옴
81,2020-03-22,7744.0,0,0,7744.0,일,비안옴
82,2020-03-23,1814.0,0,0,1814.0,월,비안옴
83,2020-03-24,1988.0,0,0,1988.0,화,비안옴
84,2020-03-25,1998.0,0,0,1998.0,수,비안옴
85,2020-03-26,1218.0,0,0,1218.0,목,비옴
86,2020-03-27,1462.0,0,0,1462.0,금,비옴
87,2020-03-28,6187.0,0,0,6187.0,토,비안옴
88,2020-03-29,8822.0,864,0,7958.0,일,비안옴
89,2020-03-30,2259.0,0,0,2259.0,월,비안옴
90,2020-03-31,2794.0,0,0,2794.0,화,비안옴
91,2020-04-01,2319.0,0,0,2319.0,수,비안옴
92,2020-04-02,3075.0,0,0,3075.0,목,비안옴
93,2020-04-03,3217.0,0,0,3217.0,금,비안옴
94,2020-04-04,7813.0,36,0,7777.0,토,비안옴
95,2020-04-05,7693.0,0,0,7693.0,일,비안옴
96,2020-04-06,2561.0,0,0,2561.0,월,비안옴
97,2020-04-07,2433.0,0,0,2433.0,화,비안옴
98,2020-04-08,2634.0,0,0,2634.0,수,비안옴
99,2020-04-09,2197.0,0,0,2197.0,목,비안옴
100,2020-04-10,2567.0,0,0,2567.0,금,비안옴
101,2020-04-11,6481.0,0,0,6481.0,토,비안옴
102,2020-04-12,5717.0,0,0,5717.0,일,비안옴
103,2020-04-13,2404.0,0,0,2404.0,월,비안옴
104,2020-04-14,3468.0,872,0,2596.0,화,비안옴
105,2020-04-15,7392.0,0,0,7392.0,수,비안옴
106,2020-04-16,2648.0,0,0,2648.0,목,비안옴
107,2020-04-17,222.0,0,0,222.0,금,비옴
108,2020-04-18,10325.0,0,0,10325.0,토,비안옴
109,2020-04-19,2892.0,32,0,2860.0,일,비옴
110,2020-04-20,719.0,0,0,719.0,월,비옴
111,2020-04-21,1039.0,0,0,1039.0,화,비안옴
112,2020-04-22,499.0,0,0,499.0,수,비안옴
113,2020-04-23,3011.0,1796,0,1215.0,목,비안옴
114,2020-04-24,1572.0,0,0,1572.0,금,비안옴
115,2020-04-25,7857.0,39,0,7818.0,토,비안옴
116,2020-04-26,12018.0,0,0,12018.0,일,비안옴
117,2020-04-27,2268.0,0,0,2268.0,월,비안옴
118,2020-04-28,2980.0,0,0,2980.0,화,비안옴
119,2020-04-29,4256.0,1404,0,2852.0,수,비안옴
120,2020-04-30,16598.0,0,0,16598.0,목,비안옴
121,2020-05-01,15733.0,0,0,15733.0,금,비안옴
122,2020-05-02,13597.0,0,0,13597.0,토,비안옴
123,2020-05-03,10559.0,0,0,10559.0,일,비안옴
124,2020-05-04,10000.0,0,0,10000.0,월,비안옴
125,2020-05-05,25907.0,0,0,25907.0,화,비안옴
126,2020-05-06,3458.0,0,0,3458.0,수,비안옴
127,2020-05-07,3846.0,0,0,3846.0,목,비안옴
128,2020-05-08,2263.0,0,0,2263.0,금,비옴
129,2020-05-09,521.0,0,0,521.0,토,비옴
130,2020-05-10,6871.0,0,0,6871.0,일,비옴
131,2020-05-11,1814.0,0,0,1814.0,월,비안옴
132,2020-05-12,1787.0,0,0,1787.0,화,비옴
133,2020-05-13,2644.0,0,0,2644.0,수,비안옴
134,2020-05-14,2399.0,0,0,2399.0,목,비안옴
135,2020-05-15,222.0,0,0,222.0,금,비옴
136,2020-05-16,4834.0,0,0,4834.0,토,비옴
137,2020-05-17,8875.0,0,0,8875.0,일,비안옴
138,2020-05-18,933.0,0,0,933.0,월,비옴
139,2020-05-19,608.0,0,0,608.0,화,비옴
140,2020-05-20,2859.0,0,0,2859.0,수,비안옴
141,2020-05-21,3040.0,0,0,3040.0,목,비안옴
142,2020-05-22,2567.0,13,0,2554.0,금,비안옴
143,2020-05-23,12038.0,0,0,12038.0,토,비안옴
144,2020-05-24,5990.0,0,0,5990.0,일,비옴
145,2020-05-25,2649.0,0,0,2649.0,월,비안옴
146,2020-05-26,2091.0,0,0,2091.0,화,비옴
147,2020-05-27,7943.0,5136,0,2807.0,수,비안옴
148,2020-05-28,2829.0,0,0,2829.0,목,비안옴
149,2020-05-29,2511.0,0,0,2511.0,금,비안옴
150,2020-05-30,8157.0,0,0,8157.0,토,비안옴
151,2020-05-31,7746.0,0,0,7746.0,일,비안옴
152,2020-06-01,2419.0,0,0,2419.0,월,비옴
153,2020-06-02,758.0,41,0,717.0,화,비옴
154,2020-06-03,1887.0,0,0,1887.0,수,비안옴
155,2020-06-04,1942.0,0,0,1942.0,목,비안옴
156,2020-06-05,2268.0,0,30,2238.0,금,비안옴
157,2020-06-06,9246.0,31,0,9215.0,토,비안옴
158,2020-06-07,8306.0,0,0,8306.0,일,비안옴
159,2020-06-08,1799.0,0,0,1799.0,월,비안옴
160,2020-06-09,1584.0,0,0,1584.0,화,비안옴
161,2020-06-10,1546.0,0,0,1546.0,수,비옴
162,2020-06-11,1565.0,0,0,1565.0,목,비안옴
163,2020-06-12,1819.0,0,0,1819.0,금,비안옴
164,2020-06-13,4621.0,0,0,4621.0,토,비옴
165,2020-06-14,6533.0,0,30,6503.0,일,비옴
166,2020-06-15,1793.0,0,0,1793.0,월,비안옴
167,2020-06-16,1702.0,0,0,1702.0,화,비안옴
168,2020-06-17,1693.0,0,0,1693.0,수,비안옴
169,2020-06-18,3264.0,1175,0,2089.0,목,비안옴
170,2020-06-19,1826.0,0,0,1826.0,금,비안옴
171,2020-06-20,6019.0,0,0,6019.0,토,비안옴
172,2020-06-21,5512.0,0,0,5512.0,일,비안옴
173,2020-06-22,975.0,0,0,975.0,월,비안옴
174,2020-06-23,1341.0,0,0,1341.0,화,비안옴
175,2020-06-24,259.0,0,0,259.0,수,비옴
176,2020-06-25,767.0,0,0,767.0,목,비옴
177,2020-06-26,9415.0,7743,0,1672.0,금,비옴
178,2020-06-27,6844.0,39,0,6805.0,토,비안옴
179,2020-06-28,6639.0,0,0,6639.0,일,비안옴
180,2020-06-29,1703.0,365,30,1308.0,월,비안옴
181,2020-06-30,658.0,0,0,658.0,화,비옴
182,2020-07-01,1726.0,0,0,1726.0,수,비옴
183,2020-07-02,1617.0,0,0,1617.0,목,비안옴
184,2020-07-03,1699.0,0,0,1699.0,금,비안옴
185,2020-07-04,7165.0,0,0,7165.0,토,비옴
186,2020-07-05,7115.0,0,0,7115.0,일,비안옴
187,2020-07-06,1361.0,0,0,1361.0,월,비안옴
188,2020-07-07,1566.0,82,0,1484.0,화,비안옴
189,2020-07-08,1283.0,0,0,1283.0,수,비안옴
190,2020-07-09,1276.0,0,0,1276.0,목,비안옴
191,2020-07-10,1563.0,776,0,787.0,금,비안옴
192,2020-07-11,6522.0,0,0,6522.0,토,비안옴
193,2020-07-12,6632.0,0,0,6632.0,일,비옴
194,2020-07-13,166.0,0,0,166.0,월,비옴
195,2020-07-14,1600.0,0,0,1600.0,화,비옴
196,2020-07-15,1945.0,69,0,1876.0,수,비안옴
197,2020-07-16,1505.0,39,0,1466.0,목,비안옴
198,2020-07-17,1382.0,0,0,1382.0,금,비안옴
199,2020-07-18,6974.0,0,0,6974.0,토,비안옴
200,2020-07-19,1990.0,0,0,1990.0,일,비옴
201,2020-07-20,777.0,0,0,777.0,월,비옴
202,2020-07-21,1683.0,0,0,1683.0,화,비안옴
203,2020-07-22,625.0,69,0,556.0,수,비옴
204,2020-07-23,341.0,0,0,341.0,목,비옴
205,2020-07-24,773.0,0,0,773.0,금,비옴
206,2020-07-25,8869.0,30,0,8839.0,토,비옴
207,2020-07-26,8223.0,0,0,8223.0,일,비안옴
208,2020-07-27,887.0,0,0,887.0,월,비옴
209,2020-07-28,1343.0,0,0,1343.0,화,비옴
210,2020-07-29,4484.0,3924,0,560.0,수,비옴
211,2020-07-30,1977.0,0,0,1977.0,목,비옴
212,2020-07-31,2922.0,0,0,2922.0,금,비안옴
213,2020-08-01,1751.0,0,0,1751.0,토,비옴
214,2020-08-02,744.0,0,0,744.0,일,비옴
215,2020-08-03,324.0,0,0,324.0,월,비옴
216,2020-08-04,1248.0,0,0,1248.0,화,비옴
217,2020-08-05,707.0,0,0,707.0,수,비옴
218,2020-08-06,858.0,0,0,858.0,목,비옴
219,2020-08-07,2138.0,0,0,2138.0,금,비안옴
220,2020-08-08,2916.0,0,0,2916.0,토,비옴
221,2020-08-09,250.0,0,0,250.0,일,비옴
222,2020-08-10,775.0,30,0,745.0,월,비옴
223,2020-08-11,688.0,0,0,688.0,화,비옴
224,2020-08-12,2017.0,30,0,1987.0,수,비옴
225,2020-08-13,1547.0,0,0,1547.0,목,비안옴
226,2020-08-14,953.0,0,0,953.0,금,비안옴
227,2020-08-15,1162.0,0,0,1162.0,토,비옴
228,2020-08-16,6705.0,0,0,6705.0,일,비안옴
229,2020-08-17,3880.0,0,0,3880.0,월,비안옴
230,2020-08-18,801.0,0,0,801.0,화,비안옴
231,2020-08-19,1599.0,0,0,1599.0,수,비안옴
232,2020-08-20,556.0,31,0,525.0,목,비안옴
233,2020-08-21,507.0,0,0,507.0,금,비옴
234,2020-08-22,976.0,0,0,976.0,토,비옴
235,2020-08-23,1923.0,0,0,1923.0,일,비안옴
236,2020-08-24,571.0,0,0,571.0,월,비안옴
237,2020-08-25,504.0,0,0,504.0,화,비안옴
238,2020-08-26,445.0,0,0,445.0,수,비옴
239,2020-08-27,323.0,0,0,323.0,목,비옴
240,2020-08-28,439.0,0,0,439.0,금,비옴
241,2020-08-29,756.0,0,0,756.0,토,비옴
242,2020-08-30,1491.0,0,0,1491.0,일,비옴
243,2020-08-31,757.0,0,0,757.0,월,비안옴
244,2020-09-01,910.0,0,0,910.0,화,비옴
245,2020-09-02,265.0,0,0,265.0,수,비옴
246,2020-09-03,4967.0,4013,0,954.0,목,비옴
247,2020-09-04,1984.0,0,0,1984.0,금,비안옴
248,2020-09-05,4480.0,0,0,4480.0,토,비안옴
249,2020-09-06,3416.0,0,0,3416.0,일,비옴
250,2020-09-07,76.0,0,0,76.0,월,비옴
251,2020-09-08,2201.0,0,0,2201.0,화,비옴
252,2020-09-09,1003.0,0,0,1003.0,수,비안옴
253,2020-09-10,2243.0,179,0,2064.0,목,비옴
254,2020-09-11,1557.0,0,0,1557.0,금,비옴
255,2020-09-12,2947.0,30,0,2917.0,토,비옴
256,2020-09-13,12859.0,0,0,12859.0,일,비안옴
257,2020-09-14,2085.0,0,0,2085.0,월,비안옴
258,2020-09-15,2066.0,0,0,2066.0,화,비안옴
259,2020-09-16,820.0,0,0,820.0,수,비안옴
260,2020-09-17,1990.0,0,0,1990.0,목,비안옴
261,2020-09-18,3086.0,0,0,3086.0,금,비안옴
262,2020-09-19,12178.0,0,0,12178.0,토,비옴
263,2020-09-20,13140.0,0,0,13140.0,일,비안옴
264,2020-09-21,2247.0,0,0,2247.0,월,비안옴
265,2020-09-22,2214.0,0,0,2214.0,화,비안옴
266,2020-09-23,2052.0,0,0,2052.0,수,비안옴
267,2020-09-24,2298.0,0,0,2298.0,목,비안옴
268,2020-09-25,2335.0,47,0,2288.0,금,비안옴
269,2020-09-26,13447.0,30,0,13417.0,토,비안옴
270,2020-09-27,16860.0,1400,0,15460.0,일,비안옴
271,2020-09-28,2594.0,0,0,2594.0,월,비안옴
272,2020-09-29,2608.0,0,0,2608.0,화,비안옴
273,2020-09-30,8986.0,0,0,8986.0,수,비안옴
274,2020-10-01,12365.0,0,0,12365.0,목,비안옴
275,2020-10-02,14323.0,0,0,14323.0,금,비옴
276,2020-10-03,17995.0,0,0,17995.0,토,비옴
277,2020-10-04,12932.0,0,0,12932.0,일,비안옴
278,2020-10-05,2634.0,0,0,2634.0,월,비안옴
279,2020-10-06,2407.0,0,0,2407.0,화,비안옴
280,2020-10-07,2600.0,0,0,2600.0,수,비안옴
281,2020-10-08,3057.0,0,0,3057.0,목,비안옴
282,2020-10-09,20177.0,0,0,20177.0,금,비안옴
283,2020-10-10,16405.0,30,0,16375.0,토,비안옴
284,2020-10-11,16264.0,0,0,16264.0,일,비안옴
285,2020-10-12,2757.0,0,0,2757.0,월,비안옴
286,2020-10-13,2857.0,0,0,2857.0,화,비안옴
287,2020-10-14,2933.0,0,0,2933.0,수,비안옴
288,2020-10-15,4093.0,0,0,4093.0,목,비안옴
289,2020-10-16,2772.0,33,0,2739.0,금,비안옴
290,2020-10-17,16441.0,0,0,16441.0,토,비안옴
291,2020-10-18,19461.0,0,0,19461.0,일,비안옴
292,2020-10-19,3141.0,36,46,3059.0,월,비안옴
293,2020-10-20,3559.0,0,33,3526.0,화,비안옴
294,2020-10-21,3093.0,287,0,2806.0,수,비안옴
295,2020-10-22,2704.0,30,40,2634.0,목,비안옴
296,2020-10-23,4009.0,78,0,3931.0,금,비안옴
297,2020-10-24,16500.0,62,0,16438.0,토,비안옴
